StartMonth,TotalMembers,GymUsableSqFt,GymMaxOccupancy,GymSiteType,GymParking,unis_within_0_0.5_mile,unis_within_0.5_1_mile,unis_within_1_2_mile,PromoPercentage,AvgJoiningFee,AvgAccountPayment,BASEADL_0.5,UMAP2D_1,UMAP2D_2,POP_0.5_1,POP_1_2,POP_2_3,POP_3_4,DENS_0_0.5,DENS_0.5_1,DENS_1_2,DENS_2_3,DENS_3_4,DENSITY_DROP_2,DENSITY_DROP_3,DENSITY_DROP_4,NEAR_POP_SHARE,INNER_RING_SHARE,RATIO_0_5_TO_1,RATIO_1_TO_2,0-0.5_mile_comp,0.5-1_mile_comp,1-2_mile_comp,CompetitorIndex,transaction_density_4,user_density,avg_spend_per_user,user_repeat_rate,distance_weighted_spend,avg_merchant_per_user,txn_count_0_1_mi,txn_density_0_1_mi,txn_count_1_2_mi,txn_density_1_2_mi,txn_count_2_3_mi,txn_density_2_3_mi,txn_count_3_4_mi,txn_density_3_4_mi,Latitude,Longitude,HashedGymPublicName
Nov-24,3368,7438,124,Residential,Parking,1,0,0,0.618018018018018,3.2657657657657664,39.06884384384385,10231.199999999999,15.117895,0.9827856,15910.8,27081.6,21673.2,44350.799999999996,13135.324833678518,6809.026193202888,2897.3923962629683,1391.2567547564377,1848.6937988304846,3232.7552040825776,1244.740199592174,-530.8317553,0.085797953166353,0.2192245378523341,0.6430349191922204,0.5875132928981243,0,0,0,0,124.6978979,18.34260719134094,144.30268980477226,0.8373101952277657,22.125528161173914,1.13882863340564,3240,1031.324031235482,513,54.43099053742821,716,45.58197570151883,1799,81.8056407492342,53.752142420138625,-2.362499269,303d35421b8d224ed997d4af7f0a0dfd189ac35c84b1d004f84ebfc2c2ca2d7a
Dec-24,3461,7438,124,Residential,Parking,1,0,0,0.525,4.638671875,32.23574219,10231.199999999999,15.117895,0.9827856,15910.8,27081.6,21673.2,44350.799999999996,13135.324833678518,6809.026193202888,2897.3923962629683,1391.2567547564377,1848.6937988304846,3232.7552040825776,1244.740199592174,-530.8317553,0.085797953166353,0.2192245378523341,0.6430349191922204,0.5875132928981243,0,0,0,0,124.6978979,18.34260719134094,144.30268980477226,0.8373101952277657,22.125528161173914,1.13882863340564,3240,1031.324031235482,513,54.43099053742821,716,45.58197570151883,1799,81.8056407492342,53.752142420138625,-2.362499269,303d35421b8d224ed997d4af7f0a0dfd189ac35c84b1d004f84ebfc2c2ca2d7a
Jan-24,6487,18105,259,Residential,Parking,0,1,0,0.721970802919708,2.9562043795620445,36.28299270072993,8110.799999999999,4.250103,5.8696146,21733.2,54313.2,57206.4,88950,10413.049560266609,9300.722029195074,5810.832915954369,3672.221472385189,3707.7417635301194,2884.2058787113274,1767.4474740241158,-335.7805517,0.0352163311241715,0.1295798424409153,0.3731986083743589,0.4001458208170067,0,1,0,4,227.25336436734003,30.47817160209796,219.31142950391643,0.8218015665796344,30.46463950586034,1.1755874673629243,1567,498.7915917,2596,275.44415484437354,1921,122.29465827181238,5339,242.7794974764655,53.397544568739825,-2.356723801,7583397d1912a93a943b0403c2c3dac905d768fd947add993b859f399da5d8f5
Feb-24,6224,18105,259,Residential,Parking,0,1,0,0.35992268041237113,6.604381443298969,38.19223582474227,8110.799999999999,4.250103,5.8696146,21733.2,54313.2,57206.4,88950,10413.049560266609,9300.722029195074,5810.832915954369,3672.221472385189,3707.7417635301194,2884.2058787113274,1767.4474740241158,-335.7805517,0.0352163311241715,0.1295798424409153,0.3731986083743589,0.4001458208170067,0,1,0,4,227.25336436734003,30.47817160209796,219.31142950391643,0.8218015665796344,30.46463950586034,1.1755874673629243,1567,498.7915917,2596,275.44415484437354,1921,122.29465827181238,5339,242.7794974764655,53.397544568739825,-2.356723801,7583397d1912a93a943b0403c2c3dac905d768fd947add993b859f399da5d8f5
Mar-24,6529,18105,259,Residential,Parking,0,1,0,0.5496644295302013,4.138702460850111,38.185850111856816,8110.799999999999,4.250103,5.8696146,21733.2,54313.2,57206.4,88950,10413.049560266609,9300.722029195074,5810.832915954369,3672.221472385189,3707.7417635301194,2884.2058787113274,1767.4474740241158,-335.7805517,0.0352163311241715,0.1295798424409153,0.3731986083743589,0.4001458208170067,0,1,0,4,227.25336436734003,30.47817160209796,219.31142950391643,0.8218015665796344,30.46463950586034,1.1755874673629243,1567,498.7915917,2596,275.44415484437354,1921,122.29465827181238,5339,242.7794974764655,53.397544568739825,-2.356723801,7583397d1912a93a943b0403c2c3dac905d768fd947add993b859f399da5d8f5
Apr-24,6608,18105,259,Residential,Parking,0,1,0,0.5391255605381167,4.792600896860987,35.21614349775784,8110.799999999999,4.250103,5.8696146,21733.2,54313.2,57206.4,88950,10413.049560266609,9300.722029195074,5810.832915954369,3672.221472385189,3707.7417635301194,2884.2058787113274,1767.4474740241158,-335.7805517,0.0352163311241715,0.1295798424409153,0.3731986083743589,0.4001458208170067,0,1,0,4,227.25336436734003,30.47817160209796,219.31142950391643,0.8218015665796344,30.46463950586034,1.1755874673629243,1567,498.7915917,2596,275.44415484437354,1921,122.29465827181238,5339,242.7794974764655,53.397544568739825,-2.356723801,7583397d1912a93a943b0403c2c3dac905d768fd947add993b859f399da5d8f5
May-24,6561,18105,259,Residential,Parking,0,1,0,0.47093821510297484,5.148741418764303,34.95111556064073,8110.799999999999,4.250103,5.8696146,21733.2,54313.2,57206.4,88950,10413.049560266609,9300.722029195074,5810.832915954369,3672.221472385189,3707.7417635301194,2884.2058787113274,1767.4474740241158,-335.7805517,0.0352163311241715,0.1295798424409153,0.3731986083743589,0.4001458208170067,0,1,0,4,227.25336436734003,30.47817160209796,219.31142950391643,0.8218015665796344,30.46463950586034,1.1755874673629243,1567,498.7915917,2596,275.44415484437354,1921,122.29465827181238,5339,242.7794974764655,53.397544568739825,-2.356723801,7583397d1912a93a943b0403c2c3dac905d768fd947add993b859f399da5d8f5
Jun-24,6715,18105,259,Residential,Parking,0,1,0,0.5148648648648648,5.043436293436293,37.38361486486486,8110.799999999999,4.250103,5.8696146,21733.2,54313.2,57206.4,88950,10413.049560266609,9300.722029195074,5810.832915954369,3672.221472385189,3707.7417635301194,2884.2058787113274,1767.4474740241158,-335.7805517,0.0352163311241715,0.1295798424409153,0.3731986083743589,0.4001458208170067,0,1,0,4,227.25336436734003,30.47817160209796,219.31142950391643,0.8218015665796344,30.46463950586034,1.1755874673629243,1567,498.7915917,2596,275.44415484437354,1921,122.29465827181238,5339,242.7794974764655,53.397544568739825,-2.356723801,7583397d1912a93a943b0403c2c3dac905d768fd947add993b859f399da5d8f5
Jul-24,6416,18105,259,Residential,Parking,0,1,0,0.5268551236749117,4.593639575971731,38.648409893992934,8110.799999999999,4.250103,5.8696146,21733.2,54313.2,57206.4,88950,10413.049560266609,9300.722029195074,5810.832915954369,3672.221472385189,3707.7417635301194,2884.2058787113274,1767.4474740241158,-335.7805517,0.0352163311241715,0.1295798424409153,0.3731986083743589,0.4001458208170067,0,1,0,4,227.25336436734003,30.47817160209796,219.31142950391643,0.8218015665796344,30.46463950586034,1.1755874673629243,1567,498.7915917,2596,275.44415484437354,1921,122.29465827181238,5339,242.7794974764655,53.397544568739825,-2.356723801,7583397d1912a93a943b0403c2c3dac905d768fd947add993b859f399da5d8f5
Aug-24,6727,18105,259,Residential,Parking,0,1,0,0.6346666666666667,3.527777777777778,37.684555555555555,8110.799999999999,4.250103,5.8696146,21733.2,54313.2,57206.4,88950,10413.049560266609,9300.722029195074,5810.832915954369,3672.221472385189,3707.7417635301194,2884.2058787113274,1767.4474740241158,-335.7805517,0.0352163311241715,0.1295798424409153,0.3731986083743589,0.4001458208170067,0,1,0,4,227.25336436734003,30.47817160209796,219.31142950391643,0.8218015665796344,30.46463950586034,1.1755874673629243,1567,498.7915917,2596,275.44415484437354,1921,122.29465827181238,5339,242.7794974764655,53.397544568739825,-2.356723801,7583397d1912a93a943b0403c2c3dac905d768fd947add993b859f399da5d8f5
